,Name,URL,Zone,Difficulty,Rating,Reviews
70,Mount Marlborough & Mount Joffre,https://www.alltrails.com/explore/trail/canada/alberta/mount-marlborough-mount-joffre?ref=result-card,Peter Lougheed Provincial Park,hard,4,5
71,Storm Mountain,https://www.alltrails.com/explore/trail/canada/alberta/storm-mountain?ref=result-card,"Kananaskis Improvement, Alberta",hard,4,7
72,Mount Fox Route,https://www.alltrails.com/explore/trail/canada/alberta/mount-fox-route?ref=result-card,Peter Lougheed Provincial Park,hard,4.5,3
73,Lower Elk Lake and Frozen Lake Loop,https://www.alltrails.com/explore/trail/canada/british-columbia/frozen-lake--2?ref=result-card,Elk Lakes Provincial Park,moderate,4.5,11
74,Upper to Lower Kananaskis Lake Trail,https://www.alltrails.com/explore/trail/canada/alberta/upper-to-lower-kananaskis-lake-trail?ref=result-card,Peter Lougheed Provincial Park,moderate,4,5
75,"Pocaterra, Lynx, Wooley and Meadow Loop",https://www.alltrails.com/explore/trail/canada/alberta/pocaterra-lynx-wooley-and-meadow-loop?ref=result-card,Peter Lougheed Provincial Park,moderate,4,11
76,Elpoca Creek Hill,https://www.alltrails.com/explore/trail/canada/alberta/elpoca-creek-hill?ref=result-card,Elbow-Sheep Wildland Provincial Park,hard,2.5,4
77,Blacksmith Ridge,https://www.alltrails.com/explore/trail/canada/alberta/blacksmith-ridge--2?ref=result-card,Peter Lougheed Provincial Park,moderate,3.5,10
78,Kent Ridge South Knob,https://www.alltrails.com/explore/trail/canada/alberta/kent-ridge-south-knob--2?ref=result-card,Peter Lougheed Provincial Park,hard,4.5,6
79,Bolton Creek Lookout Loop,https://www.alltrails.com/explore/trail/canada/alberta/bolton-creek-lookout?ref=result-card,Peter Lougheed Provincial Park,moderate,3.5,9
80,High Rockies from Spray Lakes,https://www.alltrails.com/explore/trail/canada/alberta/high-rockies?ref=result-card,Bow Valley Provincial Park,easy,4,4
81,Blueberry Hill via Elk Pass,https://www.alltrails.com/explore/trail/canada/alberta/blueberry-hill-via-elk-pass?ref=result-card,Peter Lougheed Provincial Park,moderate,4.5,12
82,"Boulton Creek, Fox Creek, and Moraine Loop",https://www.alltrails.com/explore/trail/canada/alberta/boulton-creek-fox-creek-and-moraine-loop?ref=result-card,Peter Lougheed Provincial Park,easy,5,4
83,Tombstone and Banded Peak,https://www.alltrails.com/explore/trail/canada/alberta/tombstone-and-banded-peak?ref=result-card,Elbow-Sheep Wildland Provincial Park,hard,5,1
84,King Creek Canyon,https://www.alltrails.com/explore/trail/canada/alberta/king-creek-canyon?ref=result-card,Peter Lougheed Provincial Park,moderate,4,14
85,The Turret Route,https://www.alltrails.com/explore/trail/canada/alberta/the-turret-route?ref=result-card,Peter Lougheed Provincial Park,hard,3,4
86,Aster Lake Trail through Three Isle Lake Trail,https://www.alltrails.com/explore/trail/canada/alberta/aster-lake-trail-through-three-isle-lake-trail?ref=result-card,Peter Lougheed Provincial Park,moderate,5,3
87,Upper Kananaskis Lake and Rawson Lake via Great Divide Trail,https://www.alltrails.com/explore/trail/canada/alberta/upper-kananaskis-loop-and-rawson-lake?ref=result-card,Peter Lougheed Provincial Park,moderate,4.5,2
88,Indefatigable Trail [CLOSED],https://www.alltrails.com/explore/trail/canada/alberta/indefatigable-trail?ref=result-card,Peter Lougheed Provincial Park,hard,4.5,109
89,Trans Canada Trail Peter Lougheed Provincial Park Section,https://www.alltrails.com/explore/trail/canada/alberta/trans-canada-trail-peter-lougheed-provincial-park-section?ref=result-card,Peter Lougheed Provincial Park,moderate,4,1
90,Mount Indefatigable Traverse [CLOSED],https://www.alltrails.com/explore/trail/canada/alberta/mount-indefatigable-traverse?ref=result-card,Peter Lougheed Provincial Park,hard,4.5,79
91,Wheeler and Amos Loop,https://www.alltrails.com/explore/trail/canada/alberta/wheeler-and-amos-loop?ref=result-card,Peter Lougheed Provincial Park,moderate,5,9
92,Torpor Snowshoe Loop,https://www.alltrails.com/explore/trail/canada/alberta/torpor-snowshoe-trail?ref=result-card,Peter Lougheed Provincial Park,easy,4.5,6
93,Great Divide Trail Section C: Kananaskis to Field,https://www.alltrails.com/explore/trail/canada/alberta/gdt-section-c-kananaskis-to-field?ref=result-card,Peter Lougheed Provincial Park,hard,5,2
94,Mount Putnik from Upper Kananaskis Lake,https://www.alltrails.com/explore/trail/canada/alberta/mount-putnik-from-upper-kananaskis-lake?ref=result-card,"Kananaskis Improvement, Alberta",hard,0,0
95,Mount Sarrail,https://www.alltrails.com/explore/trail/canada/alberta/mount-sarrail?ref=result-card,Peter Lougheed Provincial Park,hard,5,2
96,Elk Pass Hydroline Trail (TCT),https://www.alltrails.com/explore/trail/canada/british-columbia/elk-pass-hydroline-trail-tct?ref=result-card,"Regional District of East Kootenay, British Columbia",moderate,4,1
97,Great Divide Trail: Northover Ridge Alternate Route,https://www.alltrails.com/explore/trail/canada/alberta/great-divide-trail-northover-ridge-alternate-route?ref=result-card,Peter Lougheed Provincial Park,hard,5,1
0,Mount Hoffman Trail,https://www.alltrails.com/explore/trail/canada/alberta/mount-hoffman-trail?ref=result-card,Sheep River Provincial Park,moderate,4.5,530
1,Junction Creek to Junction Falls,https://www.alltrails.com/explore/trail/canada/alberta/junction-creek-to-junction-falls?ref=result-card,Elbow-Sheep Wildland Provincial Park,moderate,4.5,247
2,Dyson Falls via Sheep Trail and Green Mountain Trail,https://www.alltrails.com/explore/trail/canada/alberta/dyson-falls-via-sheep-trail-and-green-mountain-trail?ref=result-card,Sheep River Provincial Park,easy,4,250
3,Foran Grade Loop with Windy Point and Sheep Trail,https://www.alltrails.com/explore/trail/canada/alberta/foran-grade-loop-with-windy-point-and-sheep-trail?ref=result-card,Sheep River Provincial Park,moderate,4,184
4,Sheep River Falls,https://www.alltrails.com/explore/trail/canada/alberta/sheep-river-falls?ref=result-card,"Kananaskis Improvement, Alberta",easy,4,79
5,Missinglink Mountain ,https://www.alltrails.com/explore/trail/canada/alberta/missinglink-mountain?ref=result-card,Sheep River Provincial Park,moderate,4,88
6,High Noon Trail,https://www.alltrails.com/explore/trail/canada/alberta/high-noon-trail?ref=result-card,Kananaskis Country Public Land Use Zone,easy,4,112
7,Sheep River Trail,https://www.alltrails.com/explore/trail/canada/alberta/sheep-river-trail?ref=result-card,Sheep River Provincial Park,moderate,4,45
8,Windy Point Ridge Trail,https://www.alltrails.com/explore/trail/canada/alberta/windy-point-ridge-trail?ref=result-card,Sheep River Provincial Park,moderate,4,72
9,South Volcano Ridge,https://www.alltrails.com/explore/trail/canada/alberta/south-volcano-ridge?ref=result-card,Sheep River Provincial Park,moderate,4,52
10,Bluerock and Indian Oils Trails,https://www.alltrails.com/explore/trail/canada/alberta/bluerock-and-indian-oils-trails?ref=result-card,Sheep River Provincial Park,moderate,4,42
11,Mount Burns Trail,https://www.alltrails.com/explore/trail/canada/alberta/mount-burns-trail?ref=result-card,Elbow-Sheep Wildland Provincial Park,hard,4,35
12,Mount Ware,https://www.alltrails.com/explore/trail/canada/alberta/mount-ware?ref=result-card,Sheep River Provincial Park,moderate,4,47
13,Sandy McNabb Trail,https://www.alltrails.com/explore/trail/canada/alberta/sandy-mcnabb?ref=result-card,Bluerock Wildland Provincial Park,moderate,4,64
14,Shunga La She Route,https://www.alltrails.com/explore/trail/canada/alberta/shunga-la-she-route?ref=result-card,Elbow-Sheep Wildland Provincial Park,hard,4.5,17
15,Volcano Ridge and Gorge Creek Loop,https://www.alltrails.com/explore/trail/canada/alberta/volcano-ridge-loop?ref=result-card,Sheep River Provincial Park,moderate,3.5,38
16,Long Prairie and Pine Ridge Loop Trail,https://www.alltrails.com/explore/trail/canada/alberta/long-prairie-and-pine-ridge-loop-trail?ref=result-card,Bluerock Wildland Provincial Park,moderate,4,56
17,Bluerock Mountain,https://www.alltrails.com/explore/trail/canada/alberta/bluerock-mountain--3?ref=result-card,Sheep River Provincial Park,hard,4.5,19
18,Pine Ridge and Macabee Loop Trail,https://www.alltrails.com/explore/trail/canada/alberta/pine-ridge-and-macabee-loop-trail?ref=result-card,Kananaskis Country Public Land Use Zone,moderate,4,52
19,South Gorge Creek Trail,https://www.alltrails.com/explore/trail/canada/alberta/south-gorge-creek-trail?ref=result-card,Sheep River Provincial Park,moderate,4,14
20,Bluerock Knob Trail,https://www.alltrails.com/explore/trail/canada/alberta/bluerock-knob-trail?ref=result-card,Sheep River Provincial Park,moderate,4,28
21,"Volcano Ridge, Surveyor's Ridge and Ware Traverse Loop",https://www.alltrails.com/explore/trail/canada/alberta/volcano-ridge-surveyors-ridge-and-ware-traverse-loop?ref=result-card,Sheep River Provincial Park,hard,4,7
22,Prairie Pine Macabee Ridges and Long Prairie Loop,https://www.alltrails.com/explore/trail/canada/alberta/prairie-pine-macabee-ridges-long-prairie-loop-trails-jm?ref=result-card,Bluerock Wildland Provincial Park,moderate,4,36
23,High Noon to Gem Loop,https://www.alltrails.com/explore/trail/canada/alberta/highnoon-to-gem?ref=result-card,Kananaskis Country Public Land Use Zone,moderate,4,42
24,Wolf Creek Trail,https://www.alltrails.com/explore/trail/canada/alberta/wolf-creek-trail?ref=result-card,Bluerock Wildland Provincial Park,moderate,4,30
25,Junction Mountain Fire Lookout,https://www.alltrails.com/explore/trail/canada/alberta/junction-mountain-fire-lookout?ref=result-card,Sheep River Provincial Park,moderate,4,11
26,Foran Grade Trail to Windy Point Trail,https://www.alltrails.com/explore/trail/canada/alberta/foran-grade-trail-to-windy-point-trail?ref=result-card,Bluerock Wildland Provincial Park,moderate,4,17
27,Death Valley Trail,https://www.alltrails.com/explore/trail/canada/alberta/death-valley-trail?ref=result-card,Bluerock Wildland Provincial Park,moderate,4,32
28,Allsmoke Mountain Trail,https://www.alltrails.com/explore/trail/canada/alberta/allsmoke-mountain-trail?ref=result-card,Kananaskis Country Public Land Use Zone,moderate,4,9
29,Volcano Ridge,https://www.alltrails.com/explore/trail/canada/alberta/volcano-ridge?ref=result-card,Sheep River Provincial Park,hard,4.5,18
30,Carry and Muley Ridge Trail,https://www.alltrails.com/explore/trail/canada/alberta/carry-and-muley-ridge-trail?ref=result-card,Bluerock Wildland Provincial Park,moderate,4,38
31,Volcano Ridge Route and Link Creek Loop,https://www.alltrails.com/explore/trail/canada/alberta/volcano-ridge-route-and-link-creek-loop?ref=result-card,Sheep River Provincial Park,moderate,4,16
32,Gorge Creek Loop,https://www.alltrails.com/explore/trail/canada/alberta/gorge-creek-loop?ref=result-card,Sheep River Provincial Park,hard,4,22
33,Coal Creek Trail,https://www.alltrails.com/explore/trail/canada/alberta/coal-creek-trail?ref=result-card,Bluerock Wildland Provincial Park,easy,4,27
34,Sheep Trail ,https://www.alltrails.com/explore/trail/canada/alberta/sheep-trail?ref=result-card,Sheep River Provincial Park,easy,4,5
35,Hoffman Humps via Mt Hoffman Trail,https://www.alltrails.com/explore/trail/canada/alberta/hoffman-humps-via-mt-hoffman-trail?ref=result-card,Sheep River Provincial Park,moderate,4.5,9
36,Green Mountain and Spaulding Point Trail ,https://www.alltrails.com/explore/trail/canada/alberta/green-mountain-and-spaulding-point-trail?ref=result-card,Bluerock Wildland Provincial Park,hard,4,4
37,Sandy McNabb Trail: Short Loop,https://www.alltrails.com/explore/trail/canada/alberta/sandy-mcnabb-trail-short-loop?ref=result-card,Bluerock Wildland Provincial Park,easy,3.5,23
38,Gorge Creek/Ware Creek Connector Trail,https://www.alltrails.com/explore/trail/canada/alberta/gorge-creek-ware-creek-connector-trail?ref=result-card,Ware Creek Provincial Recreation Area,easy,3.5,12
39,Missinglink Mountain Back Trail,https://www.alltrails.com/explore/trail/canada/alberta/missing-link-mountain-back-trail?ref=result-card,Sheep River Provincial Park,hard,3.5,15
40,Death Valley Trail Loop,https://www.alltrails.com/explore/trail/canada/alberta/death-valley-trail-loop?ref=result-card,"Kananaskis Improvement, Alberta",hard,3.5,18
41,Green Mountain via Sheep Trail,https://www.alltrails.com/explore/trail/canada/alberta/green-mountain-via-sheep-trail?ref=result-card,Sheep River Provincial Park,moderate,4.5,19
42,Mount McNab,https://www.alltrails.com/explore/trail/canada/alberta/mount-mcnab?ref=result-card,Bluerock Wildland Provincial Park,moderate,3.5,14
43,Mount Mcnabb Trail,https://www.alltrails.com/explore/trail/canada/alberta/mount-mcnabb-trail?ref=result-card,Sheep River Provincial Park,moderate,4,5
44,Macabee Loop,https://www.alltrails.com/explore/trail/canada/alberta/macabee-loop?ref=result-card,"Kananaskis Improvement, Alberta",easy,3.5,9
45,North Fork Trail to Death's Head Trail,https://www.alltrails.com/explore/trail/canada/alberta/north-fork-trail-to-deaths-head-trail?ref=result-card,Kananaskis Country Public Land Use Zone,moderate,3.5,6
46,Mount Dyson,https://www.alltrails.com/explore/trail/canada/alberta/mount-dyson?ref=result-card,Bluerock Wildland Provincial Park,moderate,3.5,7
47,Tunnel of Fun Route,https://www.alltrails.com/explore/trail/canada/alberta/tunnel-of-fun-route?ref=result-card,Elbow-Sheep Wildland Provincial Park,hard,2,2
48,Junction Mountain Loop,https://www.alltrails.com/explore/trail/canada/alberta/junction-mountain-loop?ref=result-card,Elbow-Sheep Wildland Provincial Park,hard,5,4
49,Junction Mountain to Pyriform Mountain Traverse,https://www.alltrails.com/explore/trail/canada/alberta/junction-mountain-to-pyriform-mountain-traverse?ref=result-card,Sheep River Provincial Park,hard,5,1
50,Channel Ridge,https://www.alltrails.com/explore/trail/canada/alberta/channel-ridge?ref=result-card,Sheep River Provincial Park,hard,4.5,3
0,Friendship Trail,https://www.alltrails.com/explore/trail/canada/alberta/friendship-trail?ref=result-card,"Black Diamond, Alberta",moderate,3.5,26
1,Black Diamond Park Trail,https://www.alltrails.com/explore/trail/canada/alberta/black-diamond-park-trail?ref=result-card,"Black Diamond, Alberta",easy,4,7
0,Tent Ridge Horseshoe,https://www.alltrails.com/explore/trail/canada/alberta/tent-ridge-horseshoe?ref=result-card,Mount Shark Trailhead Provincial Recreation Area,hard,5,1240
1,Chester Lake Trail,https://www.alltrails.com/explore/trail/canada/alberta/chester-lake-trail?ref=result-card,Spray Valley Provincial Park,moderate,4.5,1089
2,Rummel Lake Trail,https://www.alltrails.com/explore/trail/canada/alberta/rummel-lake-trail?ref=result-card,Spray Valley Provincial Park,moderate,4.5,636
3,Burstall Pass Trail,https://www.alltrails.com/explore/trail/canada/alberta/burstall-pass-trail?ref=result-card,Peter Lougheed Provincial Park,moderate,4.5,481
4,Mount Smutwood,https://www.alltrails.com/explore/trail/canada/alberta/mount-smutwood?ref=result-card,Peter Lougheed Provincial Park,hard,4.5,359
5,Karst Spring Trail,https://www.alltrails.com/explore/trail/canada/alberta/karst-spring-trail?ref=result-card,Spray Valley Provincial Park,moderate,4.5,295
6,Chester Lake and Elephant Rocks,https://www.alltrails.com/explore/trail/canada/alberta/chester-lake-and-elephant-rocks?ref=result-card,Peter Lougheed Provincial Park,moderate,4.5,165
7,Headwall Lakes Trail,https://www.alltrails.com/explore/trail/canada/alberta/headwall-lakes-trail?ref=result-card,Peter Lougheed Provincial Park,moderate,4.5,110
8,Buller Pass,https://www.alltrails.com/explore/trail/canada/alberta/buller-pass?ref=result-card,Spray Valley Provincial Park,hard,4.5,127
9,Hogarth Lakes Trail,https://www.alltrails.com/explore/trail/canada/alberta/hogarth-lakes-trail?ref=result-card,Peter Lougheed Provincial Park,easy,4.5,136
10,Chester Lake Snowshoe Trail,https://www.alltrails.com/explore/trail/canada/alberta/chester-lake-snowshoe--2?ref=result-card,Peter Lougheed Provincial Park,moderate,4.5,226
11,"Niblet, Nublet, Nub Peak, Cerulean Lake, Sunburst Lake Loop",https://www.alltrails.com/explore/trail/canada/british-columbia/niblet-numblet-nub-peak-cerulean-lake-sunburst-lake-loop?ref=result-card,Mount Assiniboine Provincial Park,hard,5,19
12,Burstall Lakes,https://www.alltrails.com/explore/trail/canada/alberta/burstall-lakes?ref=result-card,Spray Valley Provincial Park,moderate,4,100
13,Marushka (Shark) Lake Trail,https://www.alltrails.com/explore/trail/canada/alberta/marushka-shark-lake-trail?ref=result-card,Spray Valley Provincial Park,easy,4,81
14,Watridge Lake,https://www.alltrails.com/explore/trail/canada/alberta/watridge-lake?ref=result-card,Spray Valley Provincial Park,easy,4,77
15,Sawmill Snowshoe Loop,https://www.alltrails.com/explore/trail/canada/alberta/sawmill-snowshoe-loop--2?ref=result-card,Spray Valley Provincial Park,moderate,4.5,93
16,The Niblet and the Nublet from Mount Assiniboine Lodge,https://www.alltrails.com/explore/trail/canada/british-columbia/the-niblet-and-the-nublet-from-mount-assiniboine-lodge?ref=result-card,Mount Assiniboine Provincial Park,moderate,4.5,20
17,The Nub Peak from Mount Assiniboine Lodge,https://www.alltrails.com/explore/trail/canada/alberta/the-nub-peak-from-mount-assiniboine-lodge?ref=result-card,Mount Assiniboine Provincial Park,hard,5,14
18,Mount Smuts,https://www.alltrails.com/explore/trail/canada/alberta/mount-smuts-trail?ref=result-card,Mount Shark Trailhead Provincial Recreation Area,hard,4.5,26
19,Rummel Ridge Trail,https://www.alltrails.com/explore/trail/canada/alberta/rummel-ridge-trail?ref=result-card,Spray Valley Provincial Park,hard,4.5,68
20,Chester Lake and Mount Galatea,https://www.alltrails.com/explore/trail/canada/alberta/chester-lake-and-mount-galatea?ref=result-card,Peter Lougheed Provincial Park,hard,4.5,56
21,"Headwall Lakes, The Fortress, Chester Lake",https://www.alltrails.com/explore/trail/canada/alberta/headwall-lakes-the-fortress-chester-lake?ref=result-card,Peter Lougheed Provincial Park,hard,4.5,47
22,"Assiniboine Lodge, Wonder Pass, Marvel Lake, and Mount Shark Trailhead",https://www.alltrails.com/explore/trail/canada/british-columbia/assiniboine-lodge-wonder-pass-marvel-lake-and-mount-shark-trailhead--2?ref=result-card,Mount Shark Trailhead Provincial Recreation Area,hard,4.5,38
23,Assiniboine Pass (Wonder Pass) Loop,https://www.alltrails.com/explore/trail/canada/alberta/assiniboine-pass-wonder-pass-loop?ref=result-card,Mount Shark Trailhead Provincial Recreation Area,hard,4.5,29
24,Tryst Lake Trail,https://www.alltrails.com/explore/trail/canada/alberta/tryst-lake-trail?ref=result-card,Peter Lougheed Provincial Park,hard,4,48
25,Commonwealth Lake Trail,https://www.alltrails.com/explore/trail/canada/alberta/commonwealth-lake-trail?ref=result-card,Peter Lougheed Provincial Park,moderate,4,27
26,Buller North Ridge,https://www.alltrails.com/explore/trail/canada/alberta/buller-north-ridge?ref=result-card,Bow Valley Provincial Park,moderate,4.5,34
27,Buller Pass Loop via North and South,https://www.alltrails.com/explore/trail/canada/alberta/buller-pass-loop-via-north-and-south?ref=result-card,Spray Valley Provincial Park,hard,4.5,40
28,Bryant Creek Shelter via Mount Shark TH,https://www.alltrails.com/explore/trail/canada/alberta/bryant-creek-shelter-to-mt-shark-th?ref=result-card,Mount Shark Trailhead Provincial Recreation Area,easy,4.5,62
29,James Walker Creek,https://www.alltrails.com/explore/trail/canada/alberta/james-walker-creek--2?ref=result-card,"Kananaskis Improvement, Alberta",hard,4.5,22
30,Chester Lake up to Three Lakes Valley,https://www.alltrails.com/explore/trail/canada/alberta/chester-lake-up-to-three-lakes-valley?ref=result-card,Peter Lougheed Provincial Park,hard,4.5,33
31,"Mount Shark, Wonder Pass and Lake Magog Campground Trail",https://www.alltrails.com/explore/trail/canada/alberta/mount-shark-wonder-pass-and-lake-magog-campground-trail?ref=result-card,Banff National Park,hard,4.5,32
32,Tryst Lake Ridge Route,https://www.alltrails.com/explore/trail/canada/alberta/tryst-lake-ridge-route?ref=result-card,"Kananaskis Improvement, Alberta",moderate,3.5,7
33,Mount James Walker via Mount Chesmill Route,https://www.alltrails.com/explore/trail/canada/alberta/mount-james-walker-via-mount-chesmill-route?ref=result-card,Spray Valley Provincial Park,hard,4.5,22
34,Red Ridge,https://www.alltrails.com/explore/trail/canada/alberta/red-ridge--2?ref=result-card,Bow Valley Provincial Park,hard,4.5,24
35,Mount Chester,https://www.alltrails.com/explore/trail/canada/alberta/mount-chester?ref=result-card,Peter Lougheed Provincial Park,hard,5,16
36,Commonwealth Ridge Route,https://www.alltrails.com/explore/trail/canada/alberta/commonwealth-ridge-route?ref=result-card,Peter Lougheed Provincial Park,hard,4,26
37,Burstall Campground via Great Divide Trail,https://www.alltrails.com/explore/trail/canada/alberta/burstall-campground-via-great-divide-trail?ref=result-card,Mount Shark Trailhead Provincial Recreation Area,moderate,4.5,5
38,Trans Canada Trail High Rockies Section,https://www.alltrails.com/explore/trail/canada/alberta/trans-canada-trail-high-rockies-section?ref=result-card,Peter Lougheed Provincial Park,moderate,4.5,8
39,Assiniboine Pass Trail to the Nub,https://www.alltrails.com/explore/trail/canada/alberta/assiniboine-pass-trail-to-the-nub?ref=result-card,Mount Shark Trailhead Provincial Recreation Area,hard,4.5,6
40,Mount Shark,https://www.alltrails.com/explore/trail/canada/alberta/mount-shark?ref=result-card,Mount Shark Trailhead Provincial Recreation Area,hard,4.5,14
41,Og Lake,https://www.alltrails.com/explore/trail/canada/british-columbia/og-lake?ref=result-card,Mount Assiniboine Provincial Park,moderate,5,25
42,Burstall Pass Trail to French and Robertson Glacier,https://www.alltrails.com/explore/trail/canada/alberta/burstall-pass-trail-to-french-and-robertson-glacier?ref=result-card,Spray Valley Provincial Park,hard,4.5,12
43,The Tower Route,https://www.alltrails.com/explore/trail/canada/alberta/the-tower-route?ref=result-card,Spray Valley Provincial Park,hard,4.5,5
44,The Niblet from Mount Assiniboine Lodge,https://www.alltrails.com/explore/trail/canada/british-columbia/the-niblet-from-mount-assiniboine-lodge?ref=result-card,Mount Assiniboine Provincial Park,hard,5,14
45,Kent Ridge Trail,https://www.alltrails.com/explore/trail/canada/alberta/kent-ridge-trail?ref=result-card,Peter Lougheed Provincial Park,hard,4.5,17
46,Snow Peak Trail,https://www.alltrails.com/explore/trail/canada/alberta/snow-peak-trail?ref=result-card,Peter Lougheed Provincial Park,hard,4.5,12
47,Windy Ridge,https://www.alltrails.com/explore/trail/canada/british-columbia/windy-ridge--2?ref=result-card,Mount Assiniboine Provincial Park,hard,5,17
48,Mount Murray,https://www.alltrails.com/explore/trail/canada/alberta/mt-murray?ref=result-card,Peter Lougheed Provincial Park,hard,5,3
49,Sawmill Snowshoe Loop,https://www.alltrails.com/explore/trail/canada/alberta/sawmill-snowshoe-loop?ref=result-card,Spray Valley Provincial Park,easy,4,12
50,"Sunburst Lake, Elizabeth Lake, Nub Peak, and The Niblet",https://www.alltrails.com/explore/trail/canada/british-columbia/sunburst-lake-elizabeth-lake-nub-peak-and-the-niblet?ref=result-card,Mount Assiniboine Provincial Park,hard,4.5,7
51,Graupel to High Rockies Loop,https://www.alltrails.com/explore/trail/canada/alberta/graupel-to-high-rockies-loop?ref=result-card,Spray Valley Provincial Park,easy,4,6
52,Lake Magog and Sunburst Peak,https://www.alltrails.com/explore/trail/canada/alberta/lake-magog-and-sunburst-peak?ref=result-card,Mount Assiniboine Provincial Park,hard,5,4
53,Buller Creek Peak via Buller Creek Pass,https://www.alltrails.com/explore/trail/canada/alberta/buller-creek-peak-via-buller-creek-pass?ref=result-card,Kananaskis Country Public Land Use Zone,hard,4.5,7
54,The Fist,https://www.alltrails.com/explore/trail/canada/alberta/the-fist?ref=result-card,Mount Shark Trailhead Provincial Recreation Area,hard,5,3
55,French Creek to Mount French Trail,https://www.alltrails.com/explore/trail/canada/alberta/french-creek-to-mount-french-trail?ref=result-card,Peter Lougheed Provincial Park,hard,4.5,4
56,Kent Ridge North,https://www.alltrails.com/explore/trail/canada/alberta/kent-ridge-north?ref=result-card,Peter Lougheed Provincial Park,hard,4,14
57,Little Galatea,https://www.alltrails.com/explore/trail/canada/alberta/little-galatea?ref=result-card,Spray Valley Provincial Park,hard,4,13
58,McBride Br14 to Magog Lake Campground via Assinibione Pass Trail,https://www.alltrails.com/explore/trail/canada/alberta/mcbride-br14-to-magog-lake-campground-via-assinibione-pass-trail?ref=result-card,Banff National Park,moderate,5,8
59,Leman Lake Trail,https://www.alltrails.com/explore/trail/canada/alberta/lake-leman-trail?ref=result-card,Peter Lougheed Provincial Park,easy,4.5,2
60,Pig's Back,https://www.alltrails.com/explore/trail/canada/alberta/pigs-back?ref=result-card,Peter Lougheed Provincial Park,hard,4,9
61,"The Nublet, Elizabeth Lake, Cerulean Lake, Sunburst Lake Loop",https://www.alltrails.com/explore/trail/canada/british-columbia/the-nublet-elizabeth-lake-cerulean-lake-sunburst-lake-loop?ref=result-card,Mount Assiniboine Provincial Park,hard,4.5,2
62,Great Divide Trail: Assiniboine Pass Alternate Route,https://www.alltrails.com/explore/trail/canada/alberta/great-divide-trail-assiniboine-pass-alternate-route?ref=result-card,Banff National Park,hard,4.5,14
63,Spray Lakes Paddle,https://www.alltrails.com/explore/trail/canada/alberta/spray-lakes-paddle?ref=result-card,Banff National Park,easy,4.5,2
64,Butler Ridge Line to Spray Lakes Reservoir,https://www.alltrails.com/explore/trail/canada/alberta/butler-ridge-line-to-spray-lakes-reservoir?ref=result-card,Bow Valley Provincial Park,easy,4,1
65,Buller Pass to Red Mountain Peak,https://www.alltrails.com/explore/trail/canada/alberta/buller-pass-to-red-mountain-peak?ref=result-card,Spray Valley Provincial Park,hard,4.5,5
66,Assiniboine Lodge to The Towers,https://www.alltrails.com/explore/trail/canada/british-columbia/assiniboine-lodge-to-the-towers?ref=result-card,Mount Assiniboine Provincial Park,hard,4.5,5
67,Penny's Peak & Aurora Lake via Marvel Pass,https://www.alltrails.com/explore/trail/canada/british-columbia/pennys-peak-aurora-lake-via-marvel-pass?ref=result-card,Banff National Park,hard,4.5,3
68,Mount Bullhorn,https://www.alltrails.com/explore/trail/canada/alberta/mount-bullhorn?ref=result-card,Spray Valley Provincial Park,moderate,2.5,3
69,Mount Birdwood Traverse,https://www.alltrails.com/explore/trail/canada/alberta/mount-birdwood-traverse?ref=result-card,Peter Lougheed Provincial Park,hard,4.5,5
70,"South Buller Pass, Guinn’s Pass, Galatea",https://www.alltrails.com/explore/trail/canada/alberta/south-buller-pass-guinn-s-pass-galatea?ref=result-card,Spray Valley Provincial Park,hard,4.5,2
71,Buller Mountain,https://www.alltrails.com/explore/trail/canada/alberta/buller-mountain?ref=result-card,Spray Valley Provincial Park,hard,4,4
72,Sunburst Lake Loop from Mount Assiniboine Lodge,https://www.alltrails.com/explore/trail/canada/british-columbia/sunburst-lake-loop?ref=result-card,Mount Assiniboine Provincial Park,moderate,4.5,2
73,Robertson Glacier,https://www.alltrails.com/explore/trail/canada/alberta/robertson-glacier?ref=result-card,"Kananaskis Improvement, Alberta",hard,3.5,3
74,Nub Peak Loop,https://www.alltrails.com/explore/trail/canada/alberta/nub-peak-loop?ref=result-card,Mount Assiniboine Provincial Park,hard,5,12
75,Mount Burstall,https://www.alltrails.com/explore/trail/canada/alberta/mount-burstall?ref=result-card,"Kananaskis Improvement, Alberta",hard,5,2
76,Owl Lake,https://www.alltrails.com/explore/trail/canada/alberta/owl-lake?ref=result-card,Banff National Park,hard,3,1
77,Gusty Peak,https://www.alltrails.com/explore/trail/canada/alberta/gusty-peak?ref=result-card,Peter Lougheed Provincial Park,hard,4.5,3
78,Allenby Pass,https://www.alltrails.com/explore/trail/canada/alberta/allenby-pass--3?ref=result-card,Mount Shark Trailhead Provincial Recreation Area,hard,4,2
79,Spray Lakes Fishing Shack Trail,https://www.alltrails.com/explore/trail/canada/alberta/spray-lakes-fishing-shack-trail?ref=result-card,Spray Valley Provincial Park,easy,4,6
80,Og Lake and Porcupine,https://www.alltrails.com/explore/trail/canada/alberta/og-lake-and-porcupine?ref=result-card,Mount Assiniboine Provincial Park,hard,0,0
81,Prairie Lookout,https://www.alltrails.com/explore/trail/canada/alberta/prairie-lookout?ref=result-card,Spray Valley Provincial Park,hard,4,2
