,Name,URL,Zone,Difficulty,Rating,Reviews,Elevation_gain_m,Traffic,Activities,Attractions,Suitabilities,Backpacking,Birdwatching,Camping,Fishing,Hiking,Horsebackriding,Mountainbiking,Naturetrips,Paddlesports,Roadbiking,Rockclimbing,Running,Scenicdriving,Skiing,Snowshoeing,Walking,Beach,Cave,Citywalk,Forest,Historicsite,Hotsprings,Lake,River,Views,Waterfall,Wildlife,Dogfriendly,Kidfriendly,Partiallypaved,Paved,Strollerfriendly,Wheelchairfriendly
71,Gorge Creek Falls,https://www.alltrails.com/explore/trail/canada/british-columbia/gorge-creek?ref=result-card,"Sicamous, British Columbia",easy,4.0,5,88.7,moderately,"Hiking, Walking","Forest, Views, Waterfall, Wildlife",Kid friendly,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0
72,Eagle River Paddle,https://www.alltrails.com/explore/trail/canada/british-columbia/eagle-river-paddle?ref=result-card,"Sicamous, British Columbia",moderate,5.0,1,473.96,lightly,"Paddle sports, Bird watching","Lake, River, Views, Wildlife",,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
73,Eagle Pass Snowmobile Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/eagle-pass-snowmobile-trail?ref=result-card,"Sicamous, British Columbia",hard,4.0,1,2552.7,NA,,"Lake, Views",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
74,Begbie Falls via Bluff Trail ,https://www.alltrails.com/explore/trail/canada/british-columbia/begbie-falls?ref=result-card,Begbie Falls Recreation Site,moderate,4.5,91,239.88,lightly,"Hiking, Nature trips, Walking","Beach, River, Views, Waterfall",Kid friendly,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
75,Mount Begbie Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/mount-begbie-trail?ref=result-card,Mount Revelstoke National Park,hard,4.5,41,1266.75,lightly,"Hiking, Rock climbing, Snowshoeing","Forest, Views, Wildlife",,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
76,Eagle Mountain Pass Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/eagle-mountain-pass?ref=result-card,"Columbia-Shuswap Regional, British Columbia",hard,5.0,50,812.9,moderately,"Hiking, Nature trips, Bird watching","Forest, Lake, Views, Wildlife",,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
77,Summit Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/summit-trail--2?ref=result-card,Mount Revelstoke National Park,hard,4.5,36,1375.87,moderately,"Hiking, Nature trips","Forest, Lake, Views, Wildlife",,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
78,Boulder Mountain Lookout,https://www.alltrails.com/explore/trail/canada/british-columbia/boulder-mountain-lookout?ref=result-card,"Revelstoke, British Columbia",easy,4.0,46,189.89,moderately,"Hiking, Walking","Forest, Views, Wildlife",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
79,Inspiration Woods Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/inspiration-woods-trail--2?ref=result-card,Mount Revelstoke National Park,moderate,4.0,35,139.9,lightly,"Hiking, Walking","Forest, Views, Wildlife",Kid friendly,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
80,Sorenson Trail Loop,https://www.alltrails.com/explore/trail/canada/british-columbia/sorenson-trail?ref=result-card,Mount Revelstoke National Park,moderate,4.0,26,171.91,lightly,"Hiking, Nature trips, Walking, Bird watching, Running","Forest, Wildlife",,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
81,Begbie Falls via Begbie Falls Forest Service Road,https://www.alltrails.com/explore/trail/canada/british-columbia/begbie-falls-via-begbie-falls-forest-service-road?ref=result-card,Begbie Falls Recreation Site,easy,4.0,22,123.75,lightly,"Hiking, Running","Forest, Waterfall, Wildlife",,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
82,Mount Macpherson,https://www.alltrails.com/explore/trail/canada/british-columbia/mount-macpperson?ref=result-card,"Columbia-Shuswap Regional, British Columbia",hard,4.5,7,1334.72,lightly,"Hiking, Bird watching","Views, Wildlife",,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
83,Hemlock Groove Loop,https://www.alltrails.com/explore/trail/canada/british-columbia/hemlock-groove-loop?ref=result-card,Begbie Falls Recreation Site,moderate,4.5,8,294.74,lightly,"Hiking, Mountain biking, Nature trips","Forest, Lake, Views",,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
84,Flowdown Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/flowdown-trail?ref=result-card,Mount Revelstoke National Park,moderate,4.5,16,405.99,lightly,"Hiking, Mountain biking, Nature trips, Running","Forest, Views, Wildlife",,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
85,Jordan River Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/jordan-river-trail?ref=result-card,"Revelstoke, British Columbia",easy,4.0,11,209.7,lightly,"Hiking, Nature trips, Walking, Bird watching","River, Wildlife",,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
86,Lindmark Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/lindmark-trail?ref=result-card,Mount Revelstoke National Park,hard,4.0,20,1461.82,lightly,"Hiking, Nature trips, Bird watching, Running","Forest, Views",,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
87,Greenbelt Pathway,https://www.alltrails.com/explore/trail/canada/british-columbia/greenbelt-pathway?ref=result-card,"Revelstoke, British Columbia",easy,4.0,20,98.76,heavily,"Hiking, Mountain biking, Nature trips, Walking, Running","River, Views","Kid friendly, Partially paved",0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0
88,Frisbee Ridge Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/frisbee-ridge?ref=result-card,"Columbia-Shuswap B, British Columbia",moderate,4.0,1,2150.97,lightly,"Hiking, Mountain biking","River, Views",,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
89,Nels Nelsen Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/nels-nelsen-trail?ref=result-card,Mount Revelstoke National Park,moderate,4.5,8,80.77,NA,"Hiking, Walking, Running",Views,,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
90,Tantrum and Flowdown Trail Loop,https://www.alltrails.com/explore/trail/canada/british-columbia/tantrum-and-flowdown-trail-loop?ref=result-card,"Revelstoke, British Columbia",hard,4.5,3,511.76,NA,"Hiking, Mountain biking, Nature trips","Lake, Views, Wildlife",,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
91,Eagle Pass Lookout and Twin Lakes,https://www.alltrails.com/explore/trail/canada/british-columbia/eagle-mountain-lookout-and-twin-lakes?ref=result-card,"Columbia-Shuswap Regional, British Columbia",hard,4.5,2,604.72,lightly,"Hiking, Bird watching","Forest, Lake, Views, Wildlife",,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
92,Eva Lake and Miller Lake Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/eva-lake-and-miller-lake-trail?ref=result-card,Mount Revelstoke National Park,moderate,4.5,165,492.86,moderately,"Hiking, Nature trips, Walking, Bird watching","Forest, Lake, Views, Wildlife",,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
93,Upper Summit Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/upper-summit-trail?ref=result-card,Mount Revelstoke National Park,moderate,4.0,36,107.9,heavily,Hiking,"Forest, Lake, Views",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
94,Jade Lakes Trail via Miller Lake Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/jade-lakes-trail-via-miller-lake-trail?ref=result-card,Mount Revelstoke National Park,moderate,5.0,20,1123.8,NA,"Hiking, Nature trips","Forest, Lake, Views, Wildlife",,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
95,Broken Bridge Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/broken-bridge-trail--2?ref=result-card,Mount Revelstoke National Park,easy,4.0,64,110.95,moderately,"Hiking, Nature trips, Walking","Forest, River, Views, Waterfall",Kid friendly,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0
96,Stoke Sub Peak,https://www.alltrails.com/explore/trail/canada/british-columbia/sub-peak?ref=result-card,"Revelstoke, British Columbia",hard,5.0,6,690.98,NA,"Hiking, Bird watching","Forest, Views, Wildlife",,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
97,First Footsteps Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/first-footsteps-trail?ref=result-card,Mount Revelstoke National Park,easy,4.0,29,12.8,lightly,"Hiking, Nature trips, Walking","Forest, Views, Wildlife",Kid friendly,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
98,Stoke Climb Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/stoke-climb-trail?ref=result-card,"Revelstoke, British Columbia",moderate,4.5,18,519.99,moderately,"Hiking, Nature trips, Running","Forest, Views, Wildlife",,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
99,Mount Cartier Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/mount-cartier-trail?ref=result-card,"Columbia-Shuswap B, British Columbia",moderate,4.5,12,222.81,NA,Hiking,"Forest, River, Views, Wildlife",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
100,Bottoms Up Climb and Take It Easy Loop,https://www.alltrails.com/explore/trail/canada/british-columbia/bottoms-up-climb-and-take-it-easy-loop?ref=result-card,"Revelstoke, British Columbia",moderate,4.5,10,378.87,moderately,"Hiking, Mountain biking, Nature trips, Running","Forest, Views, Wildlife",,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
101,Begbie Falls,https://www.alltrails.com/explore/trail/canada/british-columbia/begbie-falls-short-hike?ref=result-card,"Revelstoke, British Columbia",easy,4.5,7,45.72,moderately,"Hiking, Nature trips","Forest, River, Views, Waterfall",,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
102,Mount Cartier Peak Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/mount-cartier-peak-trail?ref=result-card,"Revelstoke, British Columbia",hard,4.5,7,2186.94,lightly,"Backpacking, Hiking, Nature trips","Forest, Views, Wildlife",,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
103,Lower Bugaboo Falls,https://www.alltrails.com/explore/trail/canada/british-columbia/lower-bugaboo-falls?ref=result-card,"East Kootenay G, British Columbia",easy,4.5,163,134.72,moderately,"Hiking, Nature trips, Walking, Bird watching","Forest, River, Views, Waterfall",Dog friendly,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0
104,Diana Lake,https://www.alltrails.com/explore/trail/canada/british-columbia/diana-lake--2?ref=result-card,"East Kootenay G, British Columbia",moderate,4.0,34,779.98,lightly,"Hiking, Nature trips","Forest, Lake, River, Views, Wildlife",,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0
105,The Judge Route,https://www.alltrails.com/explore/trail/canada/british-columbia/the-judge-route?ref=result-card,"East Kootenay G, British Columbia",moderate,5.0,2,517.86,NA,"Backpacking, Hiking","Views, Wildlife",,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
106,Hueco Wall and Red Slab Trails,https://www.alltrails.com/explore/trail/canada/british-columbia/hueco-wall-and-red-slab-trails?ref=result-card,"East Kootenay G, British Columbia",moderate,4.0,1,146.91,lightly,"Hiking, Walking, Running","Forest, Wildlife",,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
107,Quinn Peak,https://www.alltrails.com/explore/trail/canada/british-columbia/quinn-peak?ref=result-card,"Columbia-Shuswap A, British Columbia",hard,5.0,1,909.83,lightly,Hiking,"Forest, Views, Wildlife",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
108,Hunakwa Lake Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/hunakwa-lake-trail?ref=result-card,Anstey Hunakwa Provincial Park,easy,5.0,4,144.78,NA,"Hiking, Nature trips, Walking, Bird watching","Forest, Lake, Views, Wildlife",,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
109,Giant Cedars Boardwalk Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/giant-cedars-trail?ref=result-card,Mount Revelstoke National Park,easy,4.5,169,28.96,moderately,"Nature trips, Walking",Forest,Kid friendly,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
110,Skunk Cabbage Trail [CLOSED],https://www.alltrails.com/explore/trail/canada/british-columbia/skunk-cabbage-trail?ref=result-card,Mount Revelstoke National Park,easy,3.5,48,0.0,moderately,"Nature trips, Walking","Forest, River, Views",Kid friendly,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
111,Hemlock Grove Boardwalk,https://www.alltrails.com/explore/trail/canada/british-columbia/hemlock-grove-boardwalk?ref=result-card,Glacier National Park,easy,4.0,57,19.81,lightly,"Nature trips, Walking","Forest, Wildlife",Kid friendly,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
112,Rockgarden Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/rockgarden-trail?ref=result-card,Glacier National Park,easy,4.0,41,20.73,lightly,"Hiking, Nature trips, Walking",Forest,Kid friendly,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
113,Great Glacier Trail to Glacier Crest Loop,https://www.alltrails.com/explore/trail/canada/british-columbia/great-glacier-to-glacier-crest-loop?ref=result-card,"Columbia-Shuswap A, British Columbia",moderate,5.0,9,1008.89,NA,"Hiking, Nature trips, Walking, Bird watching","Forest, Views, Wildlife",,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
114,Loop Brook Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/loop-brook-trail?ref=result-card,Glacier National Park,easy,4.5,26,108.81,lightly,"Hiking, Nature trips, Walking","Forest, Lake, Views",,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
115,Bostock Creek Trail [CLOSED],https://www.alltrails.com/explore/trail/canada/british-columbia/bostock-creek-trail?ref=result-card,Glacier National Park,moderate,4.5,3,869.9,NA,Hiking,"Forest, Views, Wildlife",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
116,Mount Hunter Lookout Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/mount-hunter-lookout-trail?ref=result-card,Yoho National Park,hard,4.0,37,1293.88,lightly,"Hiking, Nature trips, Bird watching","Forest, Views",,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
117,Canyon Creek South,https://www.alltrails.com/explore/trail/canada/british-columbia/canyon-creek-south?ref=result-card,Moonraker Trails Recreation Site,moderate,4.0,22,383.74,moderately,"Hiking, Mountain biking, Nature trips, Bird watching","Views, Wildlife",,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
118,Wapiti Ridge (#25),https://www.alltrails.com/explore/trail/canada/british-columbia/wapiti-ridge-25?ref=result-card,Moonraker Trails Recreation Site,moderate,3.5,6,119.79,moderately,"Hiking, Mountain biking, Nature trips, Walking, Bird watching","Forest, Views",,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
119,Canyon Creek #30,https://www.alltrails.com/explore/trail/canada/british-columbia/canyon-creek-30?ref=result-card,Moonraker Trails Recreation Site,moderate,4.5,5,617.83,moderately,"Hiking, Mountain biking, Nature trips, Bird watching","Forest, Views",,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
120,North Star,https://www.alltrails.com/explore/trail/canada/british-columbia/north-star-16?ref=result-card,Moonraker Trails Recreation Site,moderate,4.5,4,205.74,lightly,"Hiking, Mountain biking, Nature trips, Walking, Bird watching","Forest, Lake, Views",,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
121,2% and Ptarmigan Trot Loop,https://www.alltrails.com/explore/trail/canada/british-columbia/2-and-ptarmigan-trot-loop?ref=result-card,Moonraker Trails Recreation Site,moderate,3.5,5,189.89,NA,"Hiking, Nature trips, Running","Forest, Lake, Views, Wildlife",,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
122,Klahowya Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/klahowya-27?ref=result-card,Moonraker Trails Recreation Site,moderate,4.0,1,123.75,lightly,"Hiking, Mountain biking, Nature trips, Walking, Bird watching","Forest, Views",,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
123,Tower Road (#22),https://www.alltrails.com/explore/trail/canada/british-columbia/tower-road-22?ref=result-card,Moonraker Trails Recreation Site,easy,2.0,1,54.86,moderately,"Hiking, Mountain biking, Nature trips, Walking, Bird watching","Forest, Views",Kid friendly,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
124,Tonight Tequila Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/tonight-tequila-13?ref=result-card,Moonraker Trails Recreation Site,moderate,0.0,0,182.88,lightly,"Hiking, Mountain biking, Walking",Lake,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
125,Ptarmigan Trot,https://www.alltrails.com/explore/trail/canada/british-columbia/ptarmigan-trot?ref=result-card,Moonraker Trails Recreation Site,easy,4.0,1,46.94,lightly,"Hiking, Mountain biking, Nature trips, Running","Forest, Lake, Views, Wildlife",Kid friendly,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0
126,Rockabout Loop,https://www.alltrails.com/explore/trail/canada/british-columbia/rockabout-loop?ref=result-card,"Columbia-Shuswap A, British Columbia",moderate,4.0,2,172.82,lightly,"Hiking, Walking, Running",Forest,,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Vilcsak Loop,https://www.alltrails.com/explore/trail/canada/british-columbia/vilcsak-loop?ref=result-card,"Columbia-Shuswap A, British Columbia",moderate,5.0,1,102.72,lightly,"Hiking, Walking, Running",Views,,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
128,Bear Claw Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/bear-claw-trail?ref=result-card,Moonraker Trails Recreation Site,easy,0.0,0,119.79,moderately,Mountain biking,"Forest, Lake, Views, Wildlife",,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
129,Wapta Falls,https://www.alltrails.com/explore/trail/canada/british-columbia/wapta-falls?ref=result-card,Yoho National Park,easy,4.5,656,134.72,heavily,"Hiking, Walking","Forest, River, Views, Waterfall, Wildlife",Kid friendly,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0
130,Hoodoo Creek Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/hoodoo-creek-trail?ref=result-card,Yoho National Park,moderate,4.5,59,360.88,lightly,Hiking,"Forest, Views, Wildlife",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
131,Wapta Falls Loop South,https://www.alltrails.com/explore/trail/canada/british-columbia/wapta-falls-loop-south?ref=result-card,Yoho National Park,easy,4.5,6,139.9,NA,"Hiking, Bird watching","Forest, River, Waterfall, Wildlife",,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
132,Great Divide Trail to 2500 Peak,https://www.alltrails.com/explore/trail/canada/british-columbia/great-divide-trail-to-2500-peak?ref=result-card,Kootenay National Park,hard,5.0,2,754.99,lightly,Hiking,"Forest, River, Views, Wildlife",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
133,Seymour River Falls,https://www.alltrails.com/explore/trail/canada/british-columbia/seymour-river-falls?ref=result-card,Seymour River Falls Recreation Site,easy,4.5,2,1.83,lightly,Hiking,"River, Views, Waterfall, Wildlife",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
134,Great Glacier Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/great-glacier-trail?ref=result-card,Glacier National Park,moderate,4.5,203,410.87,heavily,"Hiking, Nature trips","Forest, River, Views, Waterfall, Wildlife, Historic site",,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0
135,Abbott Ridge Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/abbott-ridge?ref=result-card,Glacier National Park,hard,5.0,136,1400.86,NA,"Hiking, Nature trips, Running","Forest, Lake, Views, Wildlife",,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
136,Hermit Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/hermit-trail?ref=result-card,Glacier National Park,hard,4.5,116,815.95,moderately,"Hiking, Nature trips","Forest, Views, Wildlife",,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
137,Bear Creek Falls,https://www.alltrails.com/explore/trail/canada/british-columbia/bear-creek-falls?ref=result-card,Glacier National Park,easy,4.5,101,35.97,moderately,"Hiking, Nature trips, Walking","Forest, River, Views, Waterfall, Wildlife",Kid friendly,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0
138,Asulkan Valley Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/asulkan-valley-trail?ref=result-card,Glacier National Park,hard,5.0,95,965.91,moderately,Hiking,"Forest, Views, Wildlife",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
139,Meeting of the Waters,https://www.alltrails.com/explore/trail/canada/british-columbia/meeting-of-the-waters?ref=result-card,Glacier National Park,easy,4.5,81,376.73,moderately,"Hiking, Walking","Forest, River, Views, Wildlife",Kid friendly,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0
140,Perley Rock Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/perley-rock-trail?ref=result-card,Glacier National Park,hard,5.0,73,1207.92,NA,Hiking,"Forest, River, Views, Wildlife",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
141,Balu Pass,https://www.alltrails.com/explore/trail/canada/british-columbia/balu-pass?ref=result-card,Glacier National Park,moderate,4.5,36,860.76,lightly,"Hiking, Nature trips, Running","Forest, Views",,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
142,Glacier Crest Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/glacier-crest-trail?ref=result-card,Glacier National Park,hard,5.0,29,1113.74,moderately,"Hiking, Nature trips","River, Views, Wildlife",,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
143,Marion Lake Lookout via Abbott Ridge Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/marion-lake-lookout-via-abbott-ridge-trail?ref=result-card,Glacier National Park,moderate,4.5,10,513.89,heavily,"Hiking, Snowshoeing, Bird watching","Forest, Lake, Views, Wildlife",Kid friendly,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0
144,Avalanche Mountain Loop,https://www.alltrails.com/explore/trail/canada/british-columbia/avalanche-mountain-loop?ref=result-card,Glacier National Park,hard,4.0,5,1573.99,NA,"Hiking, Rock climbing",Views,,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
